"sid" "first.saccade.latency" "type" "N"
"0304b" 0.28817639387536 "model" 185
"0304b" 0.259610747909313 "model" 185
"0304b" 0.295327962721802 "model" 185
"0304b" 0.302432010955577 "model" 185
"0304b" 0.264385488920958 "model" 185
"0304b" 0.271350655886087 "model" 185
"0304b" 0.0236986198060454 "model" 185
"0304b" 0.326492804562335 "model" 185
"0304b" 0.304727174944131 "model" 185
"0304b" 0.293492639188808 "model" 185
"0304b" 0.296820183187294 "model" 185
"0304b" 0.308972898419036 "model" 185
"0304b" 0.326612109623723 "model" 185
"0304b" 0.299826844813907 "model" 185
"0304b" 0.318636522446107 "model" 185
"0304b" 0.296100318631598 "model" 185
"0304b" 0.298706948446242 "model" 185
"0304b" 0.296089135360246 "model" 185
"0304b" 0.274687583303506 "model" 185
"0304b" 0.29680850296656 "model" 185
"0304b" 0.0100461142329138 "model" 185
"0304b" 0.277024343330751 "model" 185
"0304b" 0.320150659240419 "model" 185
"0304b" 0.307049515295544 "model" 185
"0304b" 0.0320123519807181 "model" 185
"0304b" 0.259663283849605 "model" 185
"0304b" 0.329415588614551 "model" 185
"0304b" 0.290832893203079 "model" 185
"0304b" 0.270476247777259 "model" 185
"0304b" 0.262823119810887 "model" 185
"0304b" 0.224245718698037 "model" 185
"0304b" 0.342199486729147 "model" 185
"0304b" 0.264251357165135 "model" 185
"0304b" 0.299804827874298 "model" 185
"0304b" 0.325567408779325 "model" 185
"0304b" 0.0300475956241655 "model" 185
"0304b" 0.223089110279444 "model" 185
"0304b" 0.282011807263666 "model" 185
"0304b" 0.340628879193744 "model" 185
"0304b" 0.275418664557818 "model" 185
"0304b" 0.267219951912071 "model" 185
"0304b" 0.36318523753164 "model" 185
"0304b" 0.306986539810293 "model" 185
"0304b" 0.283125910221114 "model" 185
"0304b" 0.243539131886033 "model" 185
"0304b" 0.238422261865382 "model" 185
"0304b" 0.246434551284332 "model" 185
"0304b" 0.253220341692265 "model" 185
"0304b" 0.236118954615797 "model" 185
"0304b" 0.271326146394262 "model" 185
"0304b" 0.269625541367262 "model" 185
"0304b" 0.487269487323288 "model" 185
"0304b" 0.0213707724795293 "model" 185
"0304b" 0.276260939341774 "model" 185
"0304b" 0.321927979382842 "model" 185
"0304b" 0.438914210996441 "model" 185
"0304b" 0.279731693841819 "model" 185
"0304b" 0.265057811852403 "model" 185
"0304b" 0.331618402974792 "model" 185
"0304b" 0.242101145785758 "model" 185
"0304b" 0.319310814516195 "model" 185
"0304b" 0.312155196126859 "model" 185
"0304b" 0.244569108324911 "model" 185
"0304b" 0.250541467146009 "model" 185
"0304b" 0.238067861708203 "model" 185
"0304b" 0.283734238657787 "model" 185
"06fbf" 0.273186206817627 "data" 189
"06fbf" 0.255607843399048 "data" 189
"06fbf" 0.261614799499512 "data" 189
"06fbf" 0.271699905395508 "data" 189
"06fbf" 0.252350807189941 "data" 189
"06fbf" 0.263738870620728 "data" 189
"06fbf" 0.206407070159912 "data" 189
"06fbf" 0.245322942733765 "data" 189
"06fbf" 0.217406988143921 "data" 189
"06fbf" 0.270751953125 "data" 189
"06fbf" 0.241046190261841 "data" 189
"06fbf" 0.273139953613281 "data" 189
"06fbf" 0.242370128631592 "data" 189
"06fbf" 0.279436111450195 "data" 189
"06fbf" 0.274811983108521 "data" 189
"06fbf" 0.215590000152588 "data" 189
"06fbf" 0.240001916885376 "data" 189
"06fbf" 0.240581035614014 "data" 189
"06fbf" 0.210395097732544 "data" 189
"06fbf" 0.208763122558594 "data" 189
"06fbf" 0.215671062469482 "data" 189
"06fbf" 0.223165988922119 "data" 189
