"sid" "first.saccade.latency" "type"
"1f330" 0.255321979522705 "data"
"1f330" 0.48482608795166 "data"
"1f330" 0.274734973907471 "data"
"1f330" 0.280049085617065 "data"
"1f330" 0.438324928283691 "data"
"1f330" 0.392005920410156 "data"
"1f330" 0.311918973922729 "data"
"1f330" 0.264896869659424 "data"
"1f330" 0.239264011383057 "data"
"1f330" 0.241263151168823 "data"
"1f330" 0.337308883666992 "data"
"1f330" 0.396328926086426 "data"
"1f330" 0.237521886825562 "data"
"1f330" 0.305898904800415 "data"
"31fc9" 0.281497001647949 "data"
"31fc9" 0.304486989974976 "data"
"31fc9" 0.412269115447998 "data"
"31fc9" 0.297320127487183 "data"
"31fc9" 0.274467945098877 "data"
"31fc9" 0.289619207382202 "data"
"31fc9" 0.338417053222656 "data"
"31fc9" 0.304092884063721 "data"
"31fc9" 0.278597116470337 "data"
"31fc9" 0.271147966384888 "data"
"31fc9" 0.270972967147827 "data"
"31fc9" 0.699592113494873 "data"
"31fc9" 0.352794170379639 "data"
"31fc9" 0.31387186050415 "data"
"31fc9" 0.295128107070923 "data"
"31fc9" 0.277535200119019 "data"
"31fc9" 0.271178007125854 "data"
"31fc9" 0.260680913925171 "data"
"31fc9" 0.291999816894531 "data"
"31fc9" 0.33082103729248 "data"
"31fc9" 0.254850149154663 "data"
"31fc9" 0.258240938186646 "data"
"31fc9" 0.305152893066406 "data"
"31fc9" 0.256511926651001 "data"
"31fc9" 0.0428609848022461 "data"
"31fc9" 0.378176927566528 "data"
"31fc9" 0.250072002410889 "data"
"31fc9" 0.250704050064087 "data"
"31fc9" 0.257500886917114 "data"
"31fc9" 0.517416954040527 "data"
"31fc9" 0.256944894790649 "data"
"31fc9" 0.256411075592041 "data"
"31fc9" 0.360588073730469 "data"
"31fc9" 0.23862099647522 "data"
"31fc9" 0.277388095855713 "data"
"31fc9" 0.262195110321045 "data"
"31fc9" 0.181434154510498 "data"
"31fc9" 0.242784023284912 "data"
"31fc9" 0.287768125534058 "data"
"31fc9" 0.296338081359863 "data"
"31fc9" 0.256200790405273 "data"
"31fc9" 0.262638092041016 "data"
"31fc9" 0.271633148193359 "data"
"31fc9" 0.253936052322388 "data"
"31fc9" 0.255784034729004 "data"
"31fc9" 0.270821094512939 "data"
"31fc9" 0.470170021057129 "data"
"31fc9" 0.256361961364746 "data"
"31fc9" 0.261126041412354 "data"
"31fc9" 0.280458927154541 "data"
"31fc9" 0.245018005371094 "data"
"31fc9" 0.279680967330933 "data"
"31fc9" 0.292616844177246 "data"
"31fc9" 0.291709899902344 "data"
"31fc9" 0.284411907196045 "data"
"31fc9" 0.259520053863525 "data"
"31fc9" 0.602852821350098 "data"
"31fc9" 0.641863107681274 "data"
"31fc9" 0.35575795173645 "data"
"31fc9" 0.276249885559082 "data"
"31fc9" 0.165070056915283 "data"
"31fc9" 0.282059192657471 "data"
"31fc9" 0.27099084854126 "data"
"31fc9" 0.272082090377808 "data"
"31fc9" 0.247878074645996 "data"
"31fc9" 0.250416994094849 "data"
"31fc9" 0.273316144943237 "data"
"31fc9" 0.379514932632446 "data"
"31fc9" 0.27156400680542 "data"
"31fc9" 0.240322113037109 "data"
"31fc9" 0.276098966598511 "data"
"31fc9" 0.271253108978271 "data"
"31fc9" 0.275964975357056 "data"
"31fc9" 0.271008968353271 "data"
"31fc9" 0.289683103561401 "data"
"31fc9" 0.249054908752441 "data"
"31fc9" 0.247790098190308 "data"
"31fc9" 0.241962909698486 "data"
"31fc9" 0.22357702255249 "data"
"31fc9" 0.242576122283936 "data"
"31fc9" 0.338783979415894 "data"
"31fc9" 0.357384920120239 "data"
"31fc9" 0.306509971618652 "data"
"31fc9" 0.309226036071777 "data"
"31fc9" 0.272365093231201 "data"
"31fc9" 0.285300016403198 "data"
"31fc9" 0.246982097625732 "data"
"31fc9" 0.263027906417847 "data"
"31fc9" 0.240226030349731 "data"
"31fc9" 0.290019989013672 "data"
"31fc9" 0.272104024887085 "data"
"31fc9" 0.239800930023193 "data"
"31fc9" 0.337059020996094 "data"
"31fc9" 0.256623029708862 "data"
"31fc9" 0.208189964294434 "data"
"31fc9" 0.278291940689087 "data"
"31fc9" 0.217107057571411 "data"
"31fc9" 0.271278142929077 "data"
"31fc9" 0.278870820999146 "data"
"31fc9" 0.283430099487305 "data"
"31fc9" 0.245269060134888 "data"
"31fc9" 0.263810157775879 "data"
