"sid" "first.saccade.latency" "type" "N"
"06fbf" 0.332450029058771 "model-rsp" 79
"06fbf" 0.411605516351639 "model-rsp" 79
"06fbf" 0.350877449051268 "model-rsp" 79
"06fbf" 0.417559624287843 "model-rsp" 79
"06fbf" 0.411557728733759 "model-rsp" 79
"06fbf" 0.315439321562348 "model-rsp" 79
"06fbf" 0.334023559941295 "model-rsp" 79
"06fbf" 0.382297821242898 "model-rsp" 79
"06fbf" 0.415093397159521 "model-rsp" 79
"06fbf" 0.357533703213504 "model-rsp" 79
"06fbf" 0.327707972137214 "model-rsp" 79
"06fbf" 0.346405678591835 "model-rsp" 79
"06fbf" 0.33018495818041 "model-rsp" 79
"06fbf" 0.387290129331512 "model-rsp" 79
"06fbf" 0.413523820957271 "model-rsp" 79
"06fbf" 0.377399097138413 "model-rsp" 79
"06fbf" 0.41976045053756 "model-rsp" 79
"06fbf" 0.333128596571455 "model-rsp" 79
"06fbf" 0.347409302074949 "model-rsp" 79
"06fbf" 0.339912388820529 "model-rsp" 79
"06fbf" 0.312974915795902 "model-rsp" 79
"06fbf" 0.466626695026911 "model-rsp" 79
"06fbf" 0.411891918626765 "model-rsp" 79
"06fbf" 0.465183951649361 "model-rsp" 79
"06fbf" 0.356715343404646 "model-rsp" 79
"06fbf" 0.34231090908565 "model-rsp" 79
"06fbf" 0.366008578561283 "model-rsp" 79
"06fbf" 0.467828617797679 "model-rsp" 79
"06fbf" 0.365073542603474 "model-rsp" 79
"06fbf" 0.353338841178992 "model-rsp" 79
"06fbf" 0.361081100801495 "model-rsp" 79
"06fbf" 0.393620465133274 "model-rsp" 79
"06fbf" 0.368193763391226 "model-rsp" 79
"06fbf" 0.434404522152741 "model-rsp" 79
"06fbf" 0.328498059347523 "model-rsp" 79
"06fbf" 0.474583609774317 "model-rsp" 79
"06fbf" 0.35778664009496 "model-rsp" 79
"06fbf" 0.333654968852677 "model-rsp" 79
"06fbf" 0.382745607308896 "model-rsp" 79
"06fbf" 0.366588318923575 "model-rsp" 79
"06fbf" 0.339369379028534 "model-rsp" 79
"06fbf" 0.317807694449647 "model-rsp" 79
"06fbf" 0.415782328357982 "model-rsp" 79
"06fbf" 0.316375761475133 "model-rsp" 79
"06fbf" 0.419529635904355 "model-rsp" 79
"06fbf" 0.320021568105417 "model-rsp" 79
"06fbf" 0.356266775013016 "model-rsp" 79
"06fbf" 0.338928554013845 "model-rsp" 79
"06fbf" 0.402997416576014 "model-rsp" 79
"06fbf" 0.31795633262753 "model-rsp" 79
"06fbf" 0.391468398904473 "model-rsp" 79
"06fbf" 0.339023295791888 "model-rsp" 79
"06fbf" 0.504756560945997 "model-rsp" 79
"06fbf" 0.345831617301174 "model-rsp" 79
"06fbf" 0.435681608458056 "model-rsp" 79
"06fbf" 0.372256072939548 "model-rsp" 79
"06fbf" 0.397253477632249 "model-rsp" 79
"06fbf" 0.361608473774677 "model-rsp" 79
"06fbf" 0.357327892406995 "model-rsp" 79
"06fbf" 0.423428569942078 "model-rsp" 79
"06fbf" 0.389278147388047 "model-rsp" 79
"06fbf" 0.386533170016039 "model-rsp" 79
"06fbf" 0.454878608324162 "model-rsp" 79
"06fbf" 0.312334140697 "model-rsp" 79
"06fbf" 0.314878862290879 "model-rsp" 79
"06fbf" 0.435933552075461 "model-rsp" 79
"06fbf" 0.470476025255684 "model-rsp" 79
"06fbf" 0.348158542239228 "model-rsp" 79
"06fbf" 0.412317217955752 "model-rsp" 79
"06fbf" 0.406414137868114 "model-rsp" 79
"06fbf" 0.359995974226403 "model-rsp" 79
"06fbf" 0.401700698943361 "model-rsp" 79
"06fbf" 0.448471209545293 "model-rsp" 79
"06fbf" 0.425383894377611 "model-rsp" 79
"06fbf" 0.43898520036702 "model-rsp" 79
"06fbf" 0.384318479563077 "model-rsp" 79
"06fbf" 0.383069907657317 "model-rsp" 79
"06fbf" 0.378388421821316 "model-rsp" 79
"06fbf" 0.471382546898063 "model-rsp" 79
"06fbf" 0.453784194788964 "model-rsp" 79
